name	country_code	reg_code	reg_name	area_code	area_name	location_type	tree_level	agcode_1500000	agcode_1501000	agcode_1502000	agcode_1503000	agcode_1517000	agcode_1518000	agcode_1636000	agcode_1637000	agcode_1829000	agcode_1830000	agcode_1832000	agcode_1833000	agcode_1835000	agcode_901000	agcode_902000	agcode_917000	agcode_918000	agcode_921000	agcode_927000	agcode_934000	agcode_941000	agcode_947000	agcode_948000	agcode_1524000
Thailand	764	920	South-Eastern Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Timor-Leste	626	920	South-Eastern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	-1	941	-1	948	-1
Viet Nam	704	920	South-Eastern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Latin America and the Caribbean	1830	-1		-1		1830000	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Caribbean	915	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Anguilla	660	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	-1	-1	1518	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Antigua and Barbuda	28	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Aruba	533	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Bahamas	44	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Barbados	52	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
British Virgin Islands	92	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Bonaire, Sint Eustatius and Saba	535	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	-1	-1	1518	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Cayman Islands	136	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Cuba	192	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Curacao	531	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Dominica	212	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Dominican Republic	214	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Grenada	308	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Guadeloupe	312	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	-1	-1	1518	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Haiti	332	915	Caribbean	904	Latin America and the Caribbean	4	5	1500	-1	-1	-1	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	-1	948	-1
Jamaica	388	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Martinique	474	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	-1	-1	1518	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Montserrat	500	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	-1	-1	1518	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Puerto Rico	630	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Saint-Barthelemy	652	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	-1	-1	1518	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Saint Kitts and Nevis	659	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Saint Lucia	662	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Saint Vincent and the Grenadines	670	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Sint Maarten (Dutch part)	534	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Saint-Martin (French part)	663	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Trinidad and Tobago	780	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Turks and Caicos Islands	796	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
United States Virgin Islands	850	915	Caribbean	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Central America	916	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Belize	84	916	Central America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Costa Rica	188	916	Central America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
El Salvador	222	916	Central America	904	Latin America and the Caribbean	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Guatemala	320	916	Central America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Honduras	340	916	Central America	904	Latin America and the Caribbean	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Mexico	484	916	Central America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	1524
Nicaragua	558	916	Central America	904	Latin America and the Caribbean	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Panama	591	916	Central America	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
South America	931	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Argentina	32	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	1524
Bolivia (Plurinational State of)	68	931	South America	904	Latin America and the Caribbean	4	5	-1	1501	-1	-1	1517	-1	1636	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Brazil	76	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	1524
Chile	152	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Colombia	170	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Ecuador	218	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Falkland Islands (Malvinas)	238	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	-1	-1	-1	1518	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
French Guiana	254	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	-1	-1	-1	1518	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Guyana	328	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Paraguay	600	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	1636	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Peru	604	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Suriname	740	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Uruguay	858	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Venezuela (Bolivarian Republic of)	862	931	South America	904	Latin America and the Caribbean	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	1830	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Australia/New Zealand	927	-1		-1		927000	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Australia	36	-1		909	Oceania	4	4	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1	927	-1	-1	-1	-1	1524
New Zealand	554	-1		909	Oceania	4	4	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	-1	-1	901	-1	-1	-1	-1	927	-1	-1	-1	-1	-1
Oceania (excluding Australia and New Zealand)	1835	-1		-1		1835000	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Melanesia	928	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Fiji	242	928	Melanesia	909	Oceania	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
New Caledonia	540	928	Melanesia	909	Oceania	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Papua New Guinea	598	928	Melanesia	909	Oceania	4	5	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Solomon Islands	90	928	Melanesia	909	Oceania	4	5	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	-1	941	-1	948	-1
Vanuatu	548	928	Melanesia	909	Oceania	4	5	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	-1	941	-1	948	-1
Micronesia	954	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guam	316	954	Micronesia	909	Oceania	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Kiribati	296	954	Micronesia	909	Oceania	4	5	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	-1	941	-1	948	-1
Marshall Islands	584	954	Micronesia	909	Oceania	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Micronesia (Fed. States of)	583	954	Micronesia	909	Oceania	4	5	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Nauru	520	954	Micronesia	909	Oceania	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Northern Mariana Islands	580	954	Micronesia	909	Oceania	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Palau	585	954	Micronesia	909	Oceania	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Polynesia	957	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
American Samoa	16	957	Polynesia	909	Oceania	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Cook Islands	184	957	Polynesia	909	Oceania	4	5	-1	-1	-1	-1	-1	1518	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
French Polynesia	258	957	Polynesia	909	Oceania	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Niue	570	957	Polynesia	909	Oceania	4	5	-1	-1	-1	-1	-1	1518	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Samoa	882	957	Polynesia	909	Oceania	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Tokelau	772	957	Polynesia	909	Oceania	4	5	-1	-1	-1	-1	-1	1518	-1	-1	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Tonga	776	957	Polynesia	909	Oceania	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Tuvalu	798	957	Polynesia	909	Oceania	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	-1	941	-1	948	-1
Wallis and Futuna Islands	876	957	Polynesia	909	Oceania	4	5	-1	-1	-1	-1	-1	1518	-1	-1	-1	-1	-1	-1	1835	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Europe and Northern America	1829	-1		-1		1829000	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Europe	917	-1		-1		917000	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Eastern Europe	923	-1		-1		3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Belarus	112	923	Eastern Europe	908	Europe	4	6	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Bulgaria	100	923	Eastern Europe	908	Europe	4	6	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Czechia	203	923	Eastern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Hungary	348	923	Eastern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Poland	616	923	Eastern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Republic of Moldova	498	923	Eastern Europe	908	Europe	4	6	-1	1501	-1	-1	1517	-1	1636	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Romania	642	923	Eastern Europe	908	Europe	4	6	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Russian Federation	643	923	Eastern Europe	908	Europe	4	6	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	1524
Slovakia	703	923	Eastern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Ukraine	804	923	Eastern Europe	908	Europe	4	6	-1	1501	-1	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Northern Europe	924	-1		-1		3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Channel Islands	830	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Denmark	208	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Estonia	233	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Faroe Islands	234	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Finland	246	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Iceland	352	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Ireland	372	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Isle of Man	833	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Latvia	428	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Lithuania	440	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Norway	578	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Sweden	752	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
United Kingdom	826	924	Northern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	1524
Southern Europe	925	-1		-1		3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Albania	8	925	Southern Europe	908	Europe	4	6	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Andorra	20	925	Southern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Bosnia and Herzegovina	70	925	Southern Europe	908	Europe	4	6	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Croatia	191	925	Southern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Gibraltar	292	925	Southern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Greece	300	925	Southern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Holy See	336	925	Southern Europe	908	Europe	4	6	-1	-1	-1	-1	-1	1518	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Italy	380	925	Southern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	1524
Malta	470	925	Southern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Montenegro	499	925	Southern Europe	908	Europe	4	6	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
North Macedonia	807	925	Southern Europe	908	Europe	4	6	-1	-1	1502	-1	1517	-1	1636	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Portugal	620	925	Southern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
San Marino	674	925	Southern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Serbia	688	925	Southern Europe	908	Europe	4	6	-1	-1	1502	-1	1517	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Slovenia	705	925	Southern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Spain	724	925	Southern Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Western Europe	926	-1		-1		3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Austria	40	926	Western Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Belgium	56	926	Western Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
France	250	926	Western Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	1524
Germany	276	926	Western Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	1524
Liechtenstein	438	926	Western Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Luxembourg	442	926	Western Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Monaco	492	926	Western Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Netherlands	528	926	Western Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
Switzerland	756	926	Western Europe	908	Europe	4	6	-1	-1	-1	1503	-1	-1	-1	-1	1829	-1	-1	-1	-1	901	-1	917	-1	-1	-1	-1	-1	-1	-1	-1
